make -f Makefile_sdr_32x32 results.xml
make[1]: Entering directory '/media/wtf/WD_USBC_4T/projects/toy-sram/rtl/sim/coco'
MODULE=tb TESTCASE=tb_32x32 TOPLEVEL=test_ra_sdr_32x32 TOPLEVEL_LANG=verilog \
         /usr/local/bin/vvp -M /home/wtf/.local/lib/python3.8/site-packages/cocotb/libs -m libcocotbvpi_icarus   build_32x32/sim.vvp 
     -.--ns INFO     cocotb.gpi                         ..mbed/gpi_embed.cpp:76   in set_program_name_in_venv        Did not detect Python virtual environment. Using system-wide Python interpreter
     -.--ns INFO     cocotb.gpi                         ../gpi/GpiCommon.cpp:99   in gpi_print_registered_impl       VPI registered
     0.00ns INFO     Running on Icarus Verilog version 12.0 (devel)
     0.00ns INFO     Running tests with cocotb v1.7.0.dev0 from /home/wtf/.local/lib/python3.8/site-packages/cocotb
     0.00ns INFO     Seeding Python random module with 1654704020
     0.00ns INFO     Found test tb.tb_32x32
     0.00ns INFO     running tb_32x32 (1/0)
                       ToySRAM 32x32 array test
     0.00ns INFO     [00000001] [00000001] Resetting...
     9.00ns INFO     [00000010] [00000010] Releasing reset.
    25.00ns INFO     [00000027] Initializing array...
    25.00ns INFO     [00000027] Port=0 WR @00=00555500
    26.00ns INFO     [00000028] Port=0 WR @01=01555501
    27.00ns INFO     [00000029] Port=0 WR @02=02555502
    28.00ns INFO     [00000030] Port=0 WR @03=03555503
    29.00ns INFO     [00000031] Port=0 WR @04=04555504
    30.00ns INFO     [00000032] Port=0 WR @05=05555505
    31.00ns INFO     [00000033] Port=0 WR @06=06555506
    32.00ns INFO     [00000034] Port=0 WR @07=07555507
    33.00ns INFO     [00000035] Port=0 WR @08=08555508
    34.00ns INFO     [00000036] Port=0 WR @09=09555509
    35.00ns INFO     [00000037] Port=0 WR @0A=0A55550A
    36.00ns INFO     [00000038] Port=0 WR @0B=0B55550B
    37.00ns INFO     [00000039] Port=0 WR @0C=0C55550C
    38.00ns INFO     [00000040] Port=0 WR @0D=0D55550D
    39.00ns INFO     [00000041] Port=0 WR @0E=0E55550E
    40.00ns INFO     [00000042] Port=0 WR @0F=0F55550F
    41.00ns INFO     [00000043] Port=0 WR @10=10555510
    42.00ns INFO     [00000044] Port=0 WR @11=11555511
    43.00ns INFO     [00000045] Port=0 WR @12=12555512
    44.00ns INFO     [00000046] Port=0 WR @13=13555513
    45.00ns INFO     [00000047] Port=0 WR @14=14555514
    46.00ns INFO     [00000048] Port=0 WR @15=15555515
    47.00ns INFO     [00000049] Port=0 WR @16=16555516
    48.00ns INFO     [00000050] Port=0 WR @17=17555517
    49.00ns INFO     [00000051] Port=0 WR @18=18555518
    50.00ns INFO     [00000052] Port=0 WR @19=19555519
